Character,Gender,TitleOrClass,Role
محمد علی ڈاکیا,Male,Postman,Protagonist
راوی (نامعلوم مرد),Male,Weaver / Narrator,Narrator
بے نام لڑکی (ندھی / نڈھی),Female,Young Girl (Daughter),Protagonist
شکاری,Male,Hunter Father,Antagonist
ماں (ندھی کی ماں),Female,Mother,Support
بنجر شخص,Male,City Man (Barren Man),Support
منگیتر,Male,Fiancé (Abroad),Minor
بادشاہی رمز والی شاعرہ (مردہ شاعرہ),Female,Poetess,Support
ماسٹر راتھر,Male,Teacher / Master,Minor
پوسٹ ماسٹر (فنا و بقا کا پوسٹ ماسٹر),Male,Postmaster (Metaphysical Clerk),Minor
بدخشانی گھوڑا,Unknown,Horse,Minor
چمڑے کی بیلٹ,Unknown,Leather Belt,Narrator
شکاری کی بندوق (بیکال),Unknown,Gun (Hunting Gun),Narrator
ماچس کی تیلی (بیان کرنے والی),Unknown,Matchstick,Narrator
نورے ماچھی,Male,Fisherman,Minor
دینا تیلی,Male,Oilman (Caste),Minor
بھاتاں ماچن,Female,Oven-Woman / Furnace Woman,Minor
قوال (برنے کے پیڑ کے نیچے والی منڈلی),Male,Qawwal (Devotional Singer),Minor
شمس الدین,Male,Laborer Friend (Migrant Worker),Support
سرگودھا والی دبلی لڑکی,Female,Hostel Girl,Minor
لیہ والی روم میٹ,Female,Hostel Girl,Minor
شمس الدین کی ماں,Female,Village Mother,Minor
پاکستانی عیسائی باباجی,Male,Laborer / Elder Christian,Minor
فرانسسکو,Male,Italian Tourist,Minor
امریکی سیاح (گٹار والا),Male,American Tourist / Musician,Minor
امریکی لڑکی (زخمی چھاتیاں),Female,American Tourist,Minor
جرمن سیاح (وہسکی والا),Male,German Tourist,Minor
جرمن سیاح (مردہ),Male,German Tourist,Minor
ترک پولیس افسر (استنبول),Male,Police Officer,Minor
بس ڈرائیور (استنبول-تہران),Male,Bus Driver,Minor
متشرع شاعر دوست,Male,Poet / Religious Friend,Support
ہم عصر معمر شاعر,Male,Contemporary Poet,Minor
قریبی عزیز (شاعرہ کا رشتہ دار),Male,Relative,Minor
ٹام ڈولی,Male,Historical Criminal / Ballad Character,Minor
سوہنی,Female,Folk Beloved,Minor
صاحباں,Female,Folk Beloved,Minor
بدیع الجمال,Female,Legendary Beauty,Minor
ہیر سیال,Female,Folk Beloved,Minor
لیلیٰ,Female,Female Lover (Classical),Minor
مجنوں,Male,Male Lover (Classical),Minor
حافظ برخوردار,Male,Legendary Sufi Poet,Minor
میاں محمد,Male,Sufi Poet,Minor
وارث شاہ,Male,Sufi Poet,Minor
کولرج,Male,English Poet,Minor
غالب,Male,Poet,Minor
قراۃ العین طاہرہ,Female,Poetess / Revolutionary,Minor
ابو نواس,Male,Arab Poet,Minor
ٹالسٹائی,Male,Novelist,Minor
کالی داس,Male,Hindu Classical Poet,Minor
شکنتلا,Female,Mythical Character,Minor
یوسف,Male,Prophet / Mythical Beauty,Minor
اسماعیل,Male,Prophet,Minor
عیسیٰ,Male,Prophet,Minor
بی بی مریم,Female,Holy Woman,Minor
مائیکل اینجلو,Male,Artist,Minor
گورو نانک,Male,Sufi / Sikh Leader,Minor
شاہ حسین,Male,Sufi Poet,Minor
سچل سرمت,Male,Sufi Poet,Minor
منصور حلاج,Male,Sufi Martyr,Minor
نتالیہ,Female,Syed Woman / Village Intellectual,Protagonist
بابا آستانہ رومی,Male,Saint / Shrine Custodian,Support
سوان (چھوٹے شاہ صاحب / پیر مٹھا),Male,Saint / Corrupt Shrine Custodian,Antagonist
آپا ثریا,Female,Religious Servant Woman,Support
زوہراں مصلین,Female,Poor Woman / Disciple,Minor
شیداں نائن,Female,Midwife,Minor
خضر (شیداں نائن کا بچہ),Male,Child,Minor
نتالیہ کے والد,Male,Elder Syed / Farmer,Support
نتالیہ کی ماں,Female,Elder Woman of the House,Support
پر نانا (نتالیہ کے پرنانا),Male,Great-Grandfather / Elder,Minor
باجی (نتالیہ کی بہن),Female,Elder Sister,Minor
پھوپھو (نتالیہ کی پھوپھو),Female,Paternal Aunt,Minor
بابا کا بھائی (دربار کا متولی),Male,Caretaker of Shrine / Self-interested Saint,Antagonist
بابا کا خاص خادم (جنت میں شیطان),Male,Shrine Servant,Antagonist
ستارہ,Female,Female Friend,Minor
کی (نیم دوست و خادمہ),Female,Maid / Semi-Friend,Minor
نتالیہ کا بھائی (ماسکو والا ماموں),Male,Political Worker / Communist Brother,Support
ناصر بخاری,Male,Husband / Diaspora Pakistani,Antagonist
روشی (بلی),Unknown,Cat,Minor
فلقی (بلی),Unknown,Cat,Minor
پروفیسر اعجاز,Male,Professor,Minor
دادا امیر حیدر,Male,Revolutionary Leader,Minor
رودین (ٹی وی ادیب),Male,Writer / Intellectual,Protagonist
رودین کی بیوی,Female,Wife,Support
رودین کے بیٹے,Male,Sons,Minor
ولیم ورڈزورتھ,Male,English Poet,Minor
احمد ندیم قاسمی,Male,Writer / Poet,Minor
قراۃ العین حیدر,Female,Novelist,Minor
شوکت صدیقی,Male,Novelist,Minor
الطاف فاطمہ,Female,Novelist,Minor
امام خمینی,Male,Religious Leader,Minor
ضیاء الحق,Male,Military Ruler,Minor
ملکہ فرح,Female,Queen,Minor
اقبال,Male,Poet / Philosopher,Minor
عطیہ فیضی,Female,Female Writer / Social Figure,Minor
فیض احمد فیض,Male,Poet,Minor
عبداللہ ملک,Male,Journalist,Minor
چی گویرا,Male,Revolutionary Leader,Minor
حسن ناصر,Male,Political Activist,Minor
حبیب جالب,Male,Revolutionary Poet,Minor
عبد القادر جیلانی,Male,Sufi Saint,Minor
حضرت علی,Male,Caliph / Imam,Minor
حبہ خاتون,Female,Kashmiri Poetess,Minor
سیفو,Female,Greek Poetess,Minor
ملکہ ترنم (نور جہاں),Female,Female Singer,Minor
امام حسین,Male,Imam / Martyr,Minor
مدر جینٹا,Female,Catholic Nun,Minor
زینب (نتالیہ کی بیٹی),Female,Student of Comparative Religion,Support
دارا (نتالیہ کا بیٹا),Male,Gay Activist Son,Support
دارا کا خاوند (سکھ),Male,Sikh Husband,Support
سکینہ (نتالیہ کی بیٹی),Female,Young Daughter,Support
عزیزہ,Female,Female Relative,Minor
عزیزہ کی بیٹی,Female,Matric-educated Village Girl,Minor
کزن (دربار والی),Female,Cousin / Disciple,Minor
حضرت عباس علمدار,Male,Religious Standard-Bearer,Minor
حضرت فاطمہ,Female,Lady of Ahl-al-Bayt,Minor
فادر میکائین,Male,Father / Bishop,Minor
میرا ایتھنی (استاد),Female,Teacher,Minor
سسٹر فلورینہ,Female,Nun / Female Instructor,Minor
نسیم ایزو,Female,School Friend,Minor
نصرت بھٹو,Female,Political Leader’s Wife,Minor
طاہرہ مظہر علی خان,Female,Socialist Woman Leader,Minor
عالیہ امام,Female,Literary / Political Reference,Minor
ولادیمیر لینن,Male,Revolutionary Theorist,Minor
امرتا پریتم,Female,Poetess,Minor
ساحر لدھیانوی,Male,Poet,Minor
مصطفیٰ زیدی,Male,Poet,Minor
عبداللہ حسین,Male,Novelist,Minor
نجمی (اداس نسلیں),Female,Fictional Character,Minor
زینب ناصر جہاں,Female,Symbolic Zainab (Elegy Figure),Minor
آشاں بی بی,Female,Female Disciple,Minor
فتح جنگ والی مریدنی,Female,Female Disciple,Minor
چیکو (کتا),Unknown,Dog,Minor
بوڑھا بر شیر (چڑیا گھر),Unknown,Lion (Zoo Animal),Minor
پروفیسر مسز قریشی,Female,Professor,Minor
ماتیلا,Female,Novel Character (The Red and the Black),Minor
ژولیاں,Male,Novel Character (The Red and the Black),Minor
گوتم نیلمبر,Male,Novel Character (Aag Ka Darya),Minor
چمپا,Female,Novel Character (Aag Ka Darya),Minor
نرمل,Female,Novel Character (Aag Ka Darya),Minor
کمال (آگ کا دریا),Male,Novel Character (Aag Ka Darya),Minor
ہری شنکر,Male,Hindu Religious Character,Minor
کرشن,Male,Hindu Deity,Minor
رادھا,Female,Mythical Beloved,Minor
گوپیاں,Female,Spiritual / Mythic Group,Minor
حضرت مراد,Male,Sufi Saint,Minor
امرتا شیر گل,Female,Female Painter,Minor
شاہ گوری,Female,Mountain Peak / Metaphor,Minor
گورو رجنیش,Male,Spiritual Master,Minor
مولانا روم,Male,Sufi Poet / Spiritual Guide,Minor
