Character,Gender,TitleOrClass,Role
ستارہ فیروز,Female,Gazal Singer / Artist,Protagonist
عاصم,Male,Middle-Class / Farmer Family,Support
استاد فضلی,Male,Ustad / Elder Father Figure,Support
افتخار سلیم,Male,Film Star,Support
سکندر گل رخ,Male,Superstar Singer (Artist),Protagonist
نگینہ,Female,Household Woman,Support
ماسٹر لطیف,Male,Music Teacher (Ustad),Support
ظہیر,Male,Unknown,Minor
فیروزہ,Female,Household Woman,Minor
جنجوعہ,Male,Unknown,Minor
راشدہ,Female,Working-Class Woman,Support
عاشی,Female,Film Actress,Protagonist
سیٹھ,Male,Businessman,Support
منظور,Male,Unknown,Minor
نائیکہ,Female,Procuress / Brothel Keeper,Minor
غوری صاحب,Male,Director / Film Professional,Minor
ماسٹر فضلی,Male,Elder / Father-in-law Type,Support
سلطان,Male,Unknown,Minor
حمیہ,Female,Unknown,Minor
شاہ جمال,Male,Sufi Saint (Referenced),Minor
ڈاکٹر نذیر,Male,Doctor,Support
جمیلہ,Female,Unknown,Minor
سیٹھ صاحب,Male,Industrialist (Ghee Factory),Support
فوزیہ لطیف,Female,Singer (Rising Artist),Support
جلیل,Male,Old Actor (Failing Artist),Support
نواز,Male,Film Assistant / Junior Artist,Minor
